DATETIMESTEP,day,10001010[D7_1C],10001011[D7_2C],10002009[D6-3B],10002010[D6-2C],10002011[D6-3C],10002012[D7-1B],10002013[D7-2B],10002015[D7-2C],10002016[D8-1B],10002017[D8-2B],10002018[D8-3B],10003012[D8],10003013[D8a],10003014[D9],10003015[D9a],10003016[D10],10003017[D1_1c],10003018[D1_2c],10003022[D4_1c],10003023[D4_2c],10003024[D4_3c],10003025[D4_4c],10003026[D4_5c],10003027[D1_1x],10003028[D1_2x],10003029[D4_1x],10003030[D4_2x],10005001[D1_1B],10005002[D1_2B],10005004[D2_1B],10005005[D2_2B],10005007[D3_1B],10005008[D3_2B],10005009[D3_3B],10005010[D3_4B],10005040[D1_1X.1],10005042[D1_2X.1],10005048[D3_1X.1],10005050[D3_2X.1],10005052[D3_3X.1],10006007[D2_4x],10006008[D2_5x],10006009[D3_4x.1],10006011[D3_5x.1],10007004[D2_1B],10007005[D2_2B],10007006[D2_3B],10007007[D4_1B],10007008[D5_1B],10007009[D8_1B],10007010[D8_2B],10008007[D8_1b],10008008[D8_2b],10008009[D8_1c],10008010[D6_1b],10008011[D6_2b],10009004[6_1B],10009005[6_2B],10009006[7_1B],10009007[7_2B],10009008[8_1B],10009009[8_2B],10012001[D6_1B],10012002[D6_2B],10012003[D7_1B],10012004[D7_2B],10012005[D5_1B],10012006[D5_2B],10013001[D11_1B],10013002[D11_2B],10013003[D3_1B],10013004[D3_2B],10013005[D1_1B],10013006[D1_2B],10014001[IDP1],10014004[IDP4],10016002[D2_2B],10016003[D2_3B],10018003[IDP3],10018004[IDP4],10019001[IDP1],10019002[IDP1a],10022010[D3_1C],10022011[D4_1C],10022012[D4_2C],10022016[D2_1X],10022017[D2_2x],10022018[D3_1X],10022019[D4_1X],10022020[D4_2X],10023002[D4_1c],10023003[D4_2c],10023004[D4_3c],10023005[D4_4x],10023006[D4_5x],10023007[D2_3c],10023008[D2_4x],10023009[D2_5x],10024004[D4_1B],10024005[D4_2B],10024006[D4_1C],10024007[D4_2C],10024008[D4_3B],10024009[D4_3C1],10024010[D4_3C2],10024011[D1_1B],10024013[D2_1B],10024014[D2_1C],10024015[D2_2B],10024016[D2_2C],10024017[D2_3B],10024018[D2_3C],10024025[D2_4X.1],10024026[D2_5X.1],10024027[D4_4X.1],10024028[D4_5X.1],10025001[PIR1],10025002[PIR1a],10025005[D41],10025006[D42],10025007[D1_1x],10025008[D1_2x],10026005[D2_1C],10026006[D3_1B],10026007[D3_2B],10026008[D4_1B],10026010[D3_1X],10026011[D4_1X],10029008[D3_1B],10029009[D3_2B],10029010[D7_1B],10029011[D7_2B],10030004[D1_1B],10030005[D1_2B],10030006[D1_3B],10030007[D5_1B],10030008[D5_2B],10030009[D5_3B],10032001[Det 6_1B],10032002[Det 6_2B],10032003[Det 8_1B],10032004[Det 8_2B],10032005[Det 8_3B],10033003[D1_1B],10033004[D1_2B],10033005[D3_1B],10033006[D3_2B],10034001[D43/1],10034002[8-1B],10034003[1-1B],10034005[1-2B],10034007[2-1B],10034009[2-2B],10034010[3-1B],10034011[3-2B],10034012[D43/5c],10034013[3-3B],10035003[D4_1B],10035004[D4_2B],10035006[D4_3B],10035009[D2_1B],10035010[D2_2B],10035012[D2_3B],10038003[D4_2B],10038004[D2_2B],10041001[D1_1B],10041002[D1_2B],10041003[D1_3B],10041007[D2_1B],10041008[D2_2B],10041009[D3_1B],10041010[D3_2B],10041011[D3_3B],10041015[D4_1B],10041016[D4_2B],10042001[R1],10042002[R2],10045001[1-1B],10045002[1-2B],10047001[D1_1B],10047002[D1_2B],10047010[D6],10052010[D2_1B],10052011[D2_2B],10052012[D2_3B],10052013[D3_2B],10052014[D4_1B],10052015[D4_2B],10052016[D4_3B],10057003[D1_1B],10057004[D1_2B],10057005[D2_1B],10057006[D2_2B],10058003[Radar3],10059004[D2_3b],10059006[D3_1b],10059007[D3_2b],10059008[D3_3x],10059010[D2_1b],10059011[D2_2b],10059012[D4_2b],10059013[D4_3b],10059014[D4_4b],10060003[D1_1B],10060004[D1_2B],10060005[D2_1B],10060006[D2_2B],10061004[D2_1B],10061005[D2_2B],10061006[D2_3B],10061007[D3_3B],10061008[D4_2B],10061009[D4_3B],10061010[D4_4B],10063004[D7],10063006[D1_1B],10063007[D2_1B],10063008[D2_2B],10063009[D4_1B],10063010[D4_2B],10066003[D1_1B],10066004[D1_2B],10066005[D3_1B],10066006[D3_2B],10066007[D1_1X],10066008[D1_2X],10066009[D3_1X],10066010[D3_2X],10067004[D1_1B],10067005[D1_2B],10067006[D3_1B],10067007[D3_2B],10073001[D1_1B],10073002[D1_2B],10073004[D3_1B],10073005[D3_2B],10073008[D5_1B],10075011[D1_1B],10075012[D1_2B],10075013[D2_1B],10075014[D2_2B],10075015[D3_2B],10077002[IDP2],10078002[Video1],10078004[Video3],10078007[1-1x],10078009[1-3x],10082012[D2_1B],10085012[D3_1B],10085013[D3_2B],10085014[D4_2B],10089004[D5_1A],10089005[D6_1B],10089006[D6_1C],10089007[D8_1B],10089008[D8_1C],10091001[D1_1B],10091002[D3_1B],10092003[D1_1B],10092004[D2_1B],10093003[D1_1B],10093004[D2_1B],10094003[D1_1B],10094004[D2_1B],10095009[D1_2c],10097007[D2_1B],10097008[D2_2B],10097009[D2_3B],10098004[D4_3B],10098005[D4_1B],10098006[D4_2B],10098007[D6_1B],10098008[D6_2B],10100001[D6-1B],10100002[D8-1B],10100003[D8_2B],10102002[D1_1B],10102003[D1_2B],10102004[D1_3B],10102006[D5_1C],10102008[D3_1B],10102009[D3_2B],10102013[D4_2B],10102014[D4_1C],10107001[D6_1B],10107002[D6_2B],10107003[D8_1B],10107004[D8_2B],10108007[D4_2B],10112001[D1_1B],10112002[D1_2B],10112006[D3_1B],10117007[1_1B],10117008[1_2B],10117011[3_1B],10117012[3_2B],10117013[4_1B],10117014[4_2B],10117015[4_1C],10117016[4_2C],10120006[D1_1C],10120007[D2_1B],10120008[D3_1B],10120010[D5_1B],10120011[D5_1C],10120012[D5_2C],10132001[1-1B],10132002[1-2B],10132003[3-1B],10132004[3-2B],10133001[Pir1],10133002[Pir1a],10133006[3-1B],10133007[3-2B],10133008[3-3B],10133009[3-4B],10133015[4-1B],10134005[D5_1B],10134006[D5_2B],10135004[3-1B],10135005[3-2B],10136003[D1_1B],10136004[D2_1B],10137001[IDP1],10137002[IDP2],10137004[D43],10140004[D1_1B],10140005[D1_2B],10140006[D3_1B],10140007[D4_1B],10140008[D4_2B],10142003[D1_1B],10142004[D1_2B],10142005[D2_1B],10142006[D2_2B],10143007[D1_1B],10143008[D1_2B],10143009[D2_1B],10143010[D2_2B],10147009[D3_1B],10147010[D3_2B],10147012[D9_1B],10147013[D9_2B],10147014[D9_3B],10148008[D1_1B],10148009[D1_2B],10148010[D1_3B],10148012[D3_1B],10148013[D3_2B],10148017[D4_1B],10148018[D4_2B],10148019[D4_3B],10148020[D9_1B],10148021[D9_2B],10148022[D11_1B],10148023[D11_2B],10149007[D2_1B],10149008[D2_2B],10149009[D4_1B],10149010[D4_2B],10149011[D4_3B],10150002[PIR2],10150006[PIR5],10150007[PIR5a],10153001[D7_1B],10153002[D7_2B],10153003[D15_1B],10153004[D15_2B],10153005[D5_1B],10153006[D5_2B],10153007[D13_1B],10153008[D13_2B],10155003[D3a],10155008[D6a],10155009[D1_1B],10155010[D1_2B],10155011[D1_3B],10155013[D3_1B],10155014[D3_2B],10155015[D3_3B],10156003[D2_1B],10156004[D2_2B],10156005[D3_1B],10156009[D1_1x],10158003[D1_1B],10158004[D3_1B],10159002[D1_1B],10161002[D1_1B],10161005[D2_1X],10161006[D4_1X],10162003[D5_1B],10163004[D1_1B],10163005[D1_2B],10163006[D3_1B],10163007[D3_2B],10163008[D3_3B],10165004[D4_1B],10165005[D4_2B],10165006[D1_1B],10165007[D1_2B],10165008[D1_3B],10165009[D1_4B],10165010[D2_1B],10165011[D2_2B],10165012[D2_3B],10165013[D3_1B],10165014[D3_2B],10165015[D3_3B],10165016[D1_1X],10165018[D2_1X],10165019[D2_2X],10165020[D2_3X],10165021[D3_1X],10165022[D3_2X],10168007[D1_1B],10168008[D1_2B],10168009[D3_1B],10168010[D3_2B],10172004[D5_1B],10172005[D5_2B],10172006[D5_3B],10173007[D1_1B],10173008[D2_1B],10173009[D4_1B],10173010[D5_1B],10175007[D5],10176004[D2_1B],10176005[D5_1B],10179001[D1_1B],10183003[D3_1B],10183004[D1_1B],10184003[D7_1B],10184004[D7_2B],10184005[D8_1B],10184006[D5_1B],10184007[D5_2B],10185003[D2_1B],10185004[D2_2B],10185006[D4_1B],10186005[D2_1B],10186006[D2_2B],10186007[D2_3B],10186008[D3_1B],10186009[D3_2B],10186010[D4_1B],10186011[D4_2B],10188002[R1f],10188003[R2n],10189001[1_1B],10189002[1_2B],10189003[3_1B],10191001[5-1B],10191002[7-1B],10192006[3-1B],10192007[3-2B],10192008[7-1B],10192009[7-2B],10192010[1-1B],10192011[2-1B],10192012[2-2B],10193004[7-1B],10193005[7-2B],10193006[4-1B],10193007[4-2B],10193008[5-1B],10193009[5-2B],10193010[2-1B],10194001[5-1B],10194002[5-2B],10194003[7-1B],10195001[D1],10197006[12-1B],10197007[12-2B],10197010[9-1B],10198003[5+6],10198004[5-1B],10198005[5-2B],10198006[2-1B],10198017[4-3x],10198018[4-4],10206001[D1_1B],10206002[D2_1B],10207001[D1_1B],10207002[D2_1B],10209001[D1_1B],10209002[D2_1B],10210003[D2_1B],10210004[D2_2B],10210006[D2_3B],10210007[D3_1B],10210008[D3_2B],10210009[D1_1B],10210010[D1_2B],10210011[D1_2C],10210013[D1_3B],10210014[D1_3C],10216007[D1_1B],10216008[D2_1B],10216009[D2_2B],10216010[D2_3B],10216011[D3_1B],10216012[D3_2B],10216013[D4_1B],10216014[D4_2B],10216015[D4_3B]
2016-09-01 00:05:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:10:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:15:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:20:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:25:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:30:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:35:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:40:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:45:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:50:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 00:55:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 01:00:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 01:05:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 01:10:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 01:15:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 01:20:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01 01:25:00,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
